,hour,day,month,year,dayofweek
225,15,24,8,2014,1
226,09,15,8,2014,6
227,15,23,8,2014,7
228,17,24,8,2014,1
229,12,25,8,2014,2
230,12,25,8,2014,2
231,12,11,8,2014,2
232,13,24,8,2014,1
233,13,24,8,2014,1
234,21,24,8,2014,1
235,21,21,8,2014,5
236,15,29,7,2014,3
237,17,26,8,2014,3
238,19,23,8,2014,7
239,17,23,8,2014,7
240,18,23,8,2014,7
241,10,29,8,2014,6
242,13,25,8,2014,2
243,10,23,8,2014,7
244,15,29,8,2014,6
245,21,28,8,2014,5
246,01,23,8,2014,7
247,17,30,8,2014,7
248,17,30,8,2014,7
249,17,30,8,2014,7
250,10,25,8,2014,2
251,07,31,8,2014,1
252,21,29,8,2014,6
253,21,29,8,2014,6
254,21,29,8,2014,6
255,14,8,8,2014,6
256,14,8,8,2014,6
257,05,31,8,2014,1
258,20,29,8,2014,6
259,20,29,8,2014,6
260,17,31,8,2014,1
261,00,11,8,2014,2
262,14,20,8,2014,4
263,14,1,9,2014,2
264,07,1,9,2014,2
265,00,2,9,2014,3
266,12,31,8,2014,1
267,14,31,8,2014,1
268,11,29,8,2014,6
269,13,3,9,2014,4
270,00,4,9,2014,5
271,09,4,9,2014,5
272,23,3,9,2014,4
273,23,3,9,2014,4
274,04,4,9,2014,5
275,04,4,9,2014,5
276,11,4,9,2014,5
277,11,4,9,2014,5
278,11,4,9,2014,5
279,11,4,9,2014,5
280,11,4,9,2014,5
281,01,5,9,2014,6
282,00,18,8,2014,2
283,00,18,8,2014,2
284,23,4,9,2014,5
285,09,5,9,2014,6
286,12,5,9,2014,6
287,21,23,8,2014,7
288,21,23,8,2014,7
289,20,5,9,2014,6
290,20,5,9,2014,6
291,23,5,9,2014,6
292,23,6,9,2014,7
293,19,7,9,2014,1
294,16,5,9,2014,6
295,11,8,9,2014,2
296,12,31,8,2014,1
297,15,8,9,2014,2
298,15,7,9,2014,1
299,18,4,9,2014,5
300,10,19,6,2014,5
301,12,14,6,2014,7
302,11,11,4,2014,6
303,05,20,6,2014,6
304,11,21,5,2014,4
305,14,17,6,2014,3
306,09,20,6,2014,6
307,12,20,6,2014,6
308,00,20,6,2014,6
309,12,20,6,2014,6
310,17,20,6,2014,6
311,16,20,6,2014,6
312,21,19,6,2014,5
313,13,21,6,2014,7
314,06,20,6,2014,6
315,18,21,6,2014,7
316,01,22,6,2014,1
317,15,17,6,2014,3
318,15,17,6,2014,3
319,23,14,6,2014,7
320,11,22,6,2014,1
321,15,22,6,2014,1
322,14,22,6,2014,1
323,19,20,6,2014,6
324,19,20,6,2014,6
325,18,22,6,2014,1
326,18,20,6,2014,6
327,19,22,6,2014,1
328,12,21,6,2014,7
329,18,20,6,2014,6
330,14,21,6,2014,7
331,05,23,6,2014,2
332,01,17,6,2014,3
333,01,17,6,2014,3
334,10,23,6,2014,2
335,11,22,6,2014,1
336,08,23,6,2014,2
337,11,23,6,2014,2
338,19,22,6,2014,1
339,22,22,6,2014,1
340,00,24,6,2014,3
341,18,12,6,2014,5
342,20,24,6,2014,3
343,20,24,6,2014,3
344,10,17,6,2014,3
345,21,19,6,2014,5
346,16,25,6,2014,4
347,18,22,6,2014,1
348,20,20,6,2014,6
349,16,26,6,2014,5
350,20,21,6,2014,7
351,08,24,6,2014,3
352,08,24,6,2014,3
353,15,25,6,2014,4
354,17,27,6,2014,6
355,15,8,6,2014,1
356,15,8,6,2014,1
357,13,29,6,2014,1
358,19,29,6,2014,1
359,20,29,6,2014,1
360,20,29,6,2014,1
361,19,28,6,2014,7
362,20,26,6,2014,5
363,10,30,6,2014,2
364,20,30,6,2014,2
365,14,6,6,2014,6
366,18,25,6,2014,4
367,18,1,7,2014,3
368,19,1,7,2014,3
369,19,1,7,2014,3
370,23,1,7,2014,3
371,23,1,7,2014,3
372,12,2,6,2014,2
373,15,2,7,2014,4
374,14,28,6,2014,7
375,23,2,7,2014,4
376,22,2,7,2014,4
377,09,2,7,2014,4
378,08,25,6,2014,4
379,10,27,6,2014,6
380,16,2,7,2014,4
381,07,27,6,2014,6
382,14,28,6,2014,7
383,17,26,6,2014,5
384,10,3,7,2014,5
385,17,22,6,2014,1
386,13,27,6,2014,6
387,11,3,7,2014,5
388,12,3,7,2014,5
389,12,20,6,2014,6
390,03,3,7,2014,5
391,17,3,7,2014,5
392,06,30,6,2014,2
393,01,3,7,2014,5
394,12,2,7,2014,4
395,20,3,7,2014,5
396,17,22,6,2014,1
397,13,30,6,2014,2
398,16,1,7,2014,3
399,12,4,7,2014,6
400,13,4,7,2014,6
401,16,3,7,2014,5
402,15,27,6,2014,6
403,13,11,4,2014,6
404,16,4,7,2014,6
405,12,10,4,2014,5
406,19,30,6,2014,2
407,00,11,4,2014,6
408,21,4,7,2014,6
409,13,11,4,2014,6
410,21,4,7,2014,6
411,10,12,4,2014,7
412,19,14,3,2014,6
413,17,13,4,2014,1
414,14,12,4,2014,7
415,14,12,4,2014,7
416,09,15,4,2014,3
417,11,10,4,2014,5
418,18,9,4,2014,4
419,11,15,4,2014,3
420,18,7,4,2014,2
421,09,7,4,2014,2
422,09,7,4,2014,2
423,11,16,4,2014,4
424,12,12,4,2014,7
425,13,16,4,2014,4
426,10,17,4,2014,5
427,14,16,4,2014,4
428,23,18,4,2014,6
429,19,18,4,2014,6
430,13,19,4,2014,7
431,20,19,4,2014,7
432,03,20,4,2014,1
433,13,20,4,2014,1
434,02,21,4,2014,2
435,02,21,4,2014,2
436,10,21,4,2014,2
437,14,21,4,2014,2
438,12,11,4,2014,6
439,15,22,4,2014,3
440,12,22,4,2014,3
441,15,11,4,2014,6
442,13,23,4,2014,4
443,16,22,4,2014,3
444,21,23,4,2014,4
445,20,22,4,2014,3
446,20,21,4,2014,2
447,11,24,4,2014,5
448,18,22,4,2014,3
449,22,25,4,2014,6
450,10,26,4,2014,7
451,09,25,4,2014,6
452,10,27,4,2014,1
453,14,22,4,2014,3
454,02,26,4,2014,7
455,16,22,4,2014,3
456,17,22,4,2014,3
457,17,28,4,2014,2
458,09,27,4,2014,1
459,12,30,4,2014,4
460,14,30,4,2014,4
461,03,30,4,2014,4
462,03,30,4,2014,4
463,12,2,3,2014,1
464,12,2,3,2014,1
465,20,30,4,2014,4
466,13,26,4,2014,7
467,16,1,5,2014,5
468,16,1,5,2014,5
469,09,3,5,2014,7
470,18,2,5,2014,6
471,08,4,5,2014,1
472,19,19,4,2014,7
473,14,5,5,2014,2
474,22,4,5,2014,1
475,22,4,5,2014,1
476,16,5,5,2014,2
477,09,5,5,2014,2
478,16,6,5,2014,3
479,17,1,5,2014,5
480,00,7,5,2014,4
481,00,7,5,2014,4
482,14,7,5,2014,4
483,17,7,5,2014,4
484,18,19,4,2014,7
485,19,1,5,2014,5
486,18,30,4,2014,4
487,08,5,5,2014,2
488,08,5,5,2014,2
489,12,8,5,2014,5
490,21,7,5,2014,4
491,19,8,5,2014,5
492,07,9,5,2014,6
493,21,8,5,2014,5
494,21,8,5,2014,5
495,13,9,5,2014,6
496,10,9,5,2014,6
497,08,9,5,2014,6
498,17,7,5,2014,4
499,15,9,5,2014,6
500,19,19,2,2014,4
501,19,19,2,2014,4
502,14,10,5,2014,7
503,18,9,5,2014,6
504,16,10,5,2014,7
505,12,20,4,2014,1
506,09,28,5,2014,4
507,15,25,5,2014,1
508,08,28,5,2014,4
509,16,28,5,2014,4
510,18,28,5,2014,4
511,10,15,5,2014,5
512,18,28,5,2014,4
513,18,23,5,2014,6
514,16,5,7,2014,7
515,09,6,7,2014,1
516,12,6,7,2014,1
517,21,5,7,2014,7
518,09,6,5,2014,3
519,02,6,7,2014,1
520,14,5,7,2014,7
521,20,6,7,2014,1
522,17,6,7,2014,1
523,22,6,7,2014,1
524,08,2,7,2014,4
525,13,30,6,2014,2
526,03,7,7,2014,2
527,05,7,7,2014,2
528,05,7,7,2014,2
529,09,6,7,2014,1
530,09,6,7,2014,1
531,12,7,7,2014,2
532,12,7,7,2014,2
533,18,4,7,2014,6
534,03,7,7,2014,2
535,12,7,7,2014,2
536,13,7,7,2014,2
537,21,7,7,2014,2
538,02,7,7,2014,2
539,12,8,7,2014,3
540,18,30,6,2014,2
541,18,7,7,2014,2
542,22,3,7,2014,5
543,12,6,7,2014,1
544,00,2,7,2014,4
545,14,9,7,2014,4
546,12,8,7,2014,3
547,19,7,7,2014,2
548,16,9,7,2014,4
549,17,9,7,2014,4
550,17,9,7,2014,4
551,08,9,7,2014,4
552,11,9,7,2014,4
553,15,10,7,2014,5
554,18,10,7,2014,5
555,02,11,7,2014,6
556,10,10,7,2014,5
557,04,11,7,2014,6
558,04,11,7,2014,6
559,19,10,7,2014,5
560,00,9,7,2014,4
561,13,11,7,2014,6
562,17,11,7,2014,6
563,19,12,7,2014,7
564,17,10,7,2014,5
565,12,4,7,2014,6
566,23,5,7,2014,7
567,12,13,7,2014,1
568,16,13,7,2014,1
569,19,13,7,2014,1
570,19,11,7,2014,6
571,19,11,7,2014,6
572,23,13,7,2014,1
573,01,14,7,2014,2
574,14,14,7,2014,2
575,16,14,7,2014,2
576,21,14,7,2014,2
577,04,15,7,2014,3
578,09,15,7,2014,3
579,16,4,7,2014,6
580,20,14,7,2014,2
581,19,14,7,2014,2
582,12,9,7,2014,4
583,14,15,7,2014,3
584,15,10,7,2014,5
585,14,10,7,2014,5
586,22,15,7,2014,3
587,22,15,7,2014,3
588,14,10,7,2014,5
589,00,11,7,2014,6
590,00,11,7,2014,6
591,00,11,7,2014,6
592,17,15,7,2014,3
593,16,12,7,2014,7
594,22,10,7,2014,5
595,14,16,7,2014,4
596,13,6,6,2014,6
597,00,13,7,2014,1
598,00,13,7,2014,1
599,00,2,7,2014,4
600,23,16,7,2014,4
601,08,16,7,2014,4
602,20,16,7,2014,4
603,04,13,7,2014,1
604,18,11,7,2014,6
605,18,11,7,2014,6
606,22,16,7,2014,4
607,16,17,7,2014,5
608,13,9,7,2014,4
609,18,29,5,2014,5
610,18,28,5,2014,4
611,01,30,5,2014,6
612,01,30,5,2014,6
613,14,28,5,2014,4
614,13,30,5,2014,6
615,17,27,5,2014,3
616,17,27,5,2014,3
617,17,27,5,2014,3
618,21,25,5,2014,1
619,07,22,5,2014,5
620,13,31,5,2014,7
621,12,27,5,2014,3
622,18,30,5,2014,6
623,08,20,5,2014,3
624,07,1,6,2014,1
625,22,29,5,2014,5
626,14,29,5,2014,5
627,10,1,6,2014,1
628,13,1,6,2014,1
629,18,30,5,2014,6
630,18,30,5,2014,6
631,09,18,5,2014,1
632,09,18,5,2014,1
633,17,9,5,2014,6
634,18,30,5,2014,6
635,18,30,5,2014,6
636,10,1,6,2014,1
637,14,2,6,2014,2
638,13,2,6,2014,2
639,21,29,5,2014,5
640,09,2,6,2014,2
641,09,2,6,2014,2
642,17,1,6,2014,1
643,14,1,6,2014,1
644,22,2,6,2014,2
645,17,13,5,2014,3
646,22,2,6,2014,2
647,23,2,6,2014,2
648,23,2,6,2014,2
649,23,2,6,2014,2
650,14,2,6,2014,2
651,13,30,5,2014,6
652,09,3,6,2014,3
653,17,25,5,2014,1
654,17,25,5,2014,1
655,10,3,6,2014,3
656,13,3,6,2014,3
657,18,1,6,2014,1
658,18,1,6,2014,1
659,18,3,6,2014,3
660,19,3,6,2014,3
661,22,2,6,2014,2
662,20,3,6,2014,3
663,07,2,6,2014,2
664,02,3,6,2014,3
665,19,3,1,2014,6
666,17,3,6,2014,3
667,07,4,6,2014,4
668,12,17,4,2014,5
669,12,17,4,2014,5
670,15,4,6,2014,4
671,14,29,5,2014,5
672,18,4,6,2014,4
673,23,3,6,2014,3
674,15,4,6,2014,4
675,07,4,6,2014,4
676,17,3,6,2014,3
677,20,4,6,2014,4
678,20,4,6,2014,4
679,13,3,6,2014,3
680,21,4,6,2014,4
681,19,4,6,2014,4
682,10,4,6,2014,4
683,09,2,6,2014,2
684,09,5,6,2014,5
685,11,5,6,2014,5
686,09,5,6,2014,5
687,18,4,6,2014,4
688,07,27,5,2014,3
689,09,6,6,2014,6
690,14,6,6,2014,6
691,08,6,6,2014,6
692,09,6,6,2014,6
693,17,5,6,2014,5
694,14,6,6,2014,6
695,15,6,6,2014,6
696,06,7,6,2014,7
697,18,7,6,2014,7
698,16,7,6,2014,7
699,22,7,6,2014,7
700,13,13,7,2014,1
701,17,16,7,2014,4
702,20,16,7,2014,4
703,17,17,7,2014,5
704,06,16,7,2014,4
705,11,17,7,2014,5
706,23,17,7,2014,5
707,16,16,7,2014,4
708,00,18,7,2014,6
709,15,18,7,2014,6
710,22,17,7,2014,5
711,13,17,7,2014,5
712,12,30,6,2014,2
713,21,18,7,2014,6
714,18,14,7,2014,2
715,16,10,7,2014,5
716,16,10,7,2014,5
717,23,18,7,2014,6
718,17,30,5,2014,6
719,05,3,7,2014,5
720,15,8,7,2014,3
721,13,17,7,2014,5
722,15,20,7,2014,1
723,14,24,6,2014,3
724,11,16,7,2014,4
725,18,16,7,2014,4
726,11,21,7,2014,2
727,14,21,7,2014,2
728,07,17,7,2014,5
729,13,13,7,2014,1
730,13,13,7,2014,1
731,13,13,7,2014,1
732,14,21,7,2014,2
733,10,16,7,2014,4
734,10,16,7,2014,4
735,17,24,6,2014,3
736,23,18,7,2014,6
737,13,16,7,2014,4
738,19,20,7,2014,1
739,15,21,7,2014,2
740,14,21,7,2014,2
741,11,21,7,2014,2
742,08,17,7,2014,5
743,00,23,7,2014,4
744,18,12,7,2014,7
745,14,18,7,2014,6
746,11,23,7,2014,4
747,09,23,7,2014,4
748,16,20,7,2014,1
749,14,23,7,2014,4
750,01,3,7,2014,5
751,09,4,7,2014,6
752,19,14,7,2014,2
753,09,7,7,2014,2
754,00,24,7,2014,5
755,11,24,7,2014,5
756,19,23,7,2014,4
757,19,15,7,2014,3
758,02,24,7,2014,5
759,23,18,7,2014,6
760,23,18,7,2014,6
761,19,24,7,2014,5
762,12,24,7,2014,5
763,07,25,7,2014,6
764,07,25,7,2014,6
765,11,25,6,2014,4
766,11,25,6,2014,4
767,14,24,7,2014,5
768,14,24,7,2014,5
769,20,25,7,2014,6
770,13,21,6,2014,7
771,13,21,6,2014,7
772,18,24,7,2014,5
773,00,22,7,2014,3
774,00,27,7,2014,1
775,17,30,6,2014,2
776,14,26,7,2014,7
777,11,27,7,2014,1
778,11,23,7,2014,4
779,20,19,6,2014,5
780,02,24,7,2014,5
781,12,28,7,2014,2
782,09,30,6,2014,2
783,19,27,7,2014,1
784,18,26,7,2014,7
785,09,24,7,2014,5
786,00,30,7,2014,4
787,12,27,7,2014,1
788,09,25,7,2014,6
789,16,22,7,2014,3
790,23,24,7,2014,5
791,01,25,7,2014,6
792,20,30,7,2014,4
793,09,31,7,2014,5
794,12,24,7,2014,5
795,19,28,7,2014,2
796,16,22,7,2014,3
797,08,30,7,2014,4
798,13,30,7,2014,4
799,18,3,7,2014,5
800,14,31,7,2014,5
801,14,31,7,2014,5
802,10,31,7,2014,5
803,10,31,7,2014,5
804,09,26,7,2014,7
805,19,2,8,2014,7
806,18,2,8,2014,7
807,18,2,8,2014,7
808,15,2,8,2014,7
809,20,2,8,2014,7
810,13,3,8,2014,1
811,15,3,8,2014,1
812,10,27,7,2014,1
813,20,30,7,2014,4
814,09,2,8,2014,7
815,02,30,7,2014,4
816,00,3,8,2014,1
817,08,15,7,2014,3
818,19,4,8,2014,2
819,03,29,7,2014,3
820,03,29,7,2014,3
821,03,29,7,2014,3
822,03,29,7,2014,3
823,06,1,8,2014,6
824,07,30,7,2014,4
825,12,11,7,2014,6
826,22,30,7,2014,4
827,02,6,8,2014,4
828,21,2,8,2014,7
829,21,5,8,2014,3
830,14,6,8,2014,4
831,16,30,7,2014,4
832,06,28,7,2014,2
833,19,3,8,2014,1
834,14,3,8,2014,1
835,12,7,8,2014,5
836,12,8,8,2014,6
837,00,3,8,2014,1
838,18,11,7,2014,6
839,22,8,8,2014,6
840,15,22,6,2014,1
841,20,23,7,2014,4
842,15,9,8,2014,7
843,23,30,7,2014,4
844,21,4,8,2014,2
845,01,9,8,2014,7
846,11,10,8,2014,1
847,20,2,8,2014,7
848,21,2,8,2014,7
849,20,10,8,2014,1
850,23,4,8,2014,2
851,09,6,8,2014,4
852,19,5,8,2014,3
853,16,5,8,2014,3
854,22,5,8,2014,3
855,15,6,8,2014,4
856,06,5,8,2014,3
857,12,11,8,2014,2
858,15,4,8,2014,2
859,05,5,8,2014,3
860,16,8,8,2014,6
861,13,12,8,2014,3
862,00,12,7,2014,7
863,07,12,8,2014,3
864,12,15,7,2014,3
865,12,15,7,2014,3
866,12,15,7,2014,3
867,12,15,7,2014,3
868,12,15,7,2014,3
869,12,15,7,2014,3
870,12,15,7,2014,3
871,11,8,8,2014,6
872,09,11,8,2014,2
873,09,11,8,2014,2
874,23,25,7,2014,6
875,18,27,7,2014,1
876,15,9,8,2014,7
877,20,13,8,2014,4
878,18,13,8,2014,4
879,15,12,8,2014,3
880,15,12,8,2014,3
881,21,13,8,2014,4
882,14,12,7,2014,7
883,19,15,8,2014,6
884,12,17,8,2014,1
885,02,17,8,2014,1
886,14,17,8,2014,1
887,00,15,8,2014,6
888,00,18,8,2014,2
889,18,8,8,2014,6
890,12,18,8,2014,2
891,09,14,8,2014,5
892,15,18,8,2014,2
893,00,30,7,2014,4
894,20,18,8,2014,2
895,13,14,8,2014,5
896,16,14,8,2014,5
897,19,15,8,2014,6
898,23,13,8,2014,4
899,00,19,8,2014,3
900,07,1,1,2014,4
901,18,1,1,2014,4
902,18,4,1,2014,7
903,20,4,1,2014,7
904,21,5,1,2014,1
905,08,7,1,2014,3
906,23,5,1,2014,1
907,06,10,1,2014,6
908,09,10,1,2014,6
909,07,11,1,2014,7
910,07,11,1,2014,7
911,23,11,1,2014,7
912,06,13,1,2014,2
913,21,15,1,2014,4
914,00,18,1,2014,7
915,20,17,1,2014,6
916,13,9,1,2014,5
917,19,22,1,2014,4
918,12,5,1,2014,1
919,18,25,1,2014,7
920,19,28,1,2014,3
921,21,28,1,2014,3
922,15,28,1,2014,3
923,15,1,2,2014,7
924,19,3,2,2014,2
925,17,4,2,2014,3
926,15,31,1,2014,6
927,18,4,2,2014,3
928,17,7,2,2014,6
929,08,25,1,2014,7
930,20,7,2,2014,6
931,20,7,2,2014,6
932,10,11,2,2014,3
933,18,15,2,2014,7
934,19,16,2,2014,1
935,20,16,2,2014,1
936,00,15,1,2014,4
937,06,17,1,2014,6
938,10,20,2,2014,5
939,20,23,2,2014,1
940,09,24,2,2014,2
941,08,25,2,2014,3
942,14,23,2,2014,1
943,14,23,2,2014,1
944,14,23,2,2014,1
945,20,3,3,2014,2
946,20,5,3,2014,4
947,09,6,3,2014,5
948,10,7,3,2014,6
949,09,8,3,2014,7
950,15,23,2,2014,1
951,22,8,3,2014,7
952,19,10,3,2014,2
953,22,10,3,2014,2
954,19,8,3,2014,7
955,11,11,3,2014,3
956,00,16,3,2014,1
957,09,16,3,2014,1
958,21,10,3,2014,2
959,13,20,3,2014,5
960,17,18,3,2014,3
961,10,19,3,2014,4
962,19,14,3,2014,6
963,09,21,3,2014,6
964,00,23,3,2014,1
965,23,23,3,2014,1
966,12,24,3,2014,2
967,07,20,3,2014,5
968,00,11,1,2014,7
969,06,27,3,2014,5
970,04,27,3,2014,5
971,18,18,3,2014,3
972,15,29,3,2014,7
973,12,25,3,2014,3
974,16,30,3,2014,1
975,07,25,3,2014,3
976,16,31,3,2014,2
977,21,31,1,2014,6
978,12,1,4,2014,3
979,19,1,4,2014,3
980,16,2,4,2014,4
981,06,3,4,2014,5
982,18,27,1,2014,2
983,10,3,4,2014,5
984,07,1,4,2014,3
985,07,1,4,2014,3
986,07,1,4,2014,3
987,07,1,4,2014,3
988,07,1,4,2014,3
989,06,4,4,2014,6
990,01,5,4,2014,7
991,21,4,4,2014,6
992,19,5,4,2014,7
993,23,7,4,2014,2
994,15,8,4,2014,3
995,10,9,4,2014,4
996,12,3,4,2014,5
997,17,9,4,2014,4
998,21,9,4,2014,4
999,21,10,4,2014,5
1000,23,29,9,2014,2
1001,22,8,10,2014,4
1002,00,9,10,2014,5
1003,16,2,10,2014,5
1004,02,9,10,2014,5
1005,16,9,10,2014,5
1006,11,9,10,2014,5
1007,12,9,10,2014,5
1008,15,9,10,2014,5
1009,14,9,10,2014,5
1010,18,9,10,2014,5
1011,04,8,10,2014,4
1012,19,9,10,2014,5
1013,19,5,10,2014,1
1014,18,7,10,2014,3
1015,10,6,10,2014,2
1016,00,9,10,2014,5
1017,11,13,6,2014,6
1018,18,23,9,2014,3
1019,14,10,10,2014,6
1020,05,11,10,2014,7
1021,11,11,10,2014,7
1022,10,2,10,2014,5
1023,00,12,10,2014,1
1024,11,11,10,2014,7
1025,11,12,10,2014,1
1026,21,11,10,2014,7
1027,17,5,10,2014,1
1028,13,12,10,2014,1
1029,20,8,10,2014,4
1030,20,8,10,2014,4
1031,20,8,10,2014,4
1032,16,13,10,2014,2
1033,20,4,9,2014,5
1034,17,13,10,2014,2
1035,17,13,10,2014,2
1036,01,12,5,2014,2
1037,13,17,7,2014,5
1038,20,11,10,2014,7
1039,15,14,10,2014,3
1040,15,14,10,2014,3
1041,00,1,10,2014,4
1042,00,1,10,2014,4
1043,20,13,10,2014,2
1044,19,14,10,2014,3
1045,19,14,10,2014,3
1046,18,14,10,2014,3
1047,16,14,10,2014,3
1048,23,10,10,2014,6
1049,00,11,10,2014,7
1050,10,13,10,2014,2
1051,07,14,10,2014,3
1052,20,15,10,2014,4
1053,03,15,10,2014,4
1054,12,15,10,2014,4
1055,12,15,10,2014,4
1056,22,5,10,2014,1
1057,20,15,10,2014,4
1058,07,16,10,2014,5
1059,07,16,10,2014,5
1060,11,16,10,2014,5
1061,08,15,9,2014,2
1062,05,16,10,2014,5
1063,09,16,10,2014,5
1064,14,16,10,2014,5
1065,14,14,10,2014,3
1066,00,17,10,2014,6
1067,09,15,10,2014,4
1068,08,18,10,2014,7
