road_condition_id,classification,traffic_control_type,visibility,surface_condition
105207,Minor Arterial,Stop Sign,Other,Other
105283,Major Arterial,Pedestrian Crossover,Snow,Wet
105750,Major Arterial,Traffic Signal,Snow,Ice
105766,Major Arterial,Stop Sign,Snow,Slush
105784,Major Arterial,No Control,Clear,Slush
105792,Major Arterial,No Control,Clear,Ice
105860,Local,Stop Sign,Other,Other
106103,Pending,No Control,Clear,Dry
106326,Major Arterial,Traffic Signal,Freezing Rain,Slush
106347,Collector,Stop Sign,Drifting Snow,Wet
106353,Major Arterial,Traffic Signal,Rain,Packed Snow
106554,Major Arterial,Streetcar (Stop for),Rain,Wet
106558,Minor Arterial,Traffic Controller,Rain,Wet
106656,Major Arterial,Traffic Signal,Rain,Slush
106799,Major Arterial,No Control,Other,Other
107069,Major Arterial,No Control,Clear,Loose Sand or Gravel
107074,Major Arterial,Pedestrian Crossover,Rain,Wet
107132,Major Arterial,Traffic Signal,,
107203,Laneway,No Control,Clear,Dry
107267,Major Arterial,Traffic Controller,Rain,Wet
107284,Expressway,No Control,Clear,Dry
107334,Major Arterial,No Control,,
107374,Minor Arterial,No Control,,
107409,Expressway,Traffic Signal,Clear,Dry
107440,Minor Arterial,Traffic Signal,Other,Other
107592,Other,No Control,Clear,Wet
107631,Major Arterial,No Control,Drifting Snow,Wet
107748,Expressway,No Control,Clear,Wet
107784,Major Arterial,Stop Sign,Other,
107800,Major Arterial,PXO - No Ped,Clear,Dry
107823,Minor Arterial,No Control,Rain,Ice
108228,Major Arterial Ramp,No Control,Clear,Dry
100201,Collector,No Control,"Fog, Mist, Smoke, Dust",Wet
100381,Local,No Control,Snow,Wet
100614,,Yield Sign,Clear,Dry
100013,Major Arterial,No Control,Other,Wet
101141,Collector,No Control,Clear,Slush
101182,Minor Arterial,No Control,Snow,Ice
101258,,,Other,Other
102060,Collector,No Control,"Fog, Mist, Smoke, Dust",Dry
102263,Minor Arterial,No Control,Clear,Other
102298,Major Arterial,Stop Sign,Strong wind,Wet
102349,Major Arterial,Stop Sign,Snow,Packed Snow
103770,Collector,Traffic Gate,Clear,Dry
103837,Minor Arterial,No Control,Snow,Other
103864,Major Arterial,Stop Sign,Clear,Slush
104759,Major Arterial,Traffic Signal,Freezing Rain,Ice
105169,Local,Traffic Gate,Clear,Dry
105372,Pending,No Control,Snow,Packed Snow
105535,Minor Arterial,No Control,Other,Wet
106693,Major Arterial,No Control,Snow,Dry
106706,Collector,No Control,Snow,Other
107699,Collector,No Control,Snow,Packed Snow
107743,,No Control,Clear,Other
108256,Minor Arterial,,Other,Other
108759,Expressway,Traffic Signal,Rain,Wet
109039,Major Arterial,No Control,Other,Dry
109370,Collector,No Control,Clear,Loose Sand or Gravel
109446,Minor Arterial,Traffic Controller,Clear,Dry
109740,Minor Arterial,No Control,Clear,Loose Sand or Gravel
110218,Local,No Control,Snow,Packed Snow
111161,Major Arterial,Traffic Signal,Strong wind,Slush
111440,Major Arterial,No Control,Freezing Rain,Wet
111821,Local,No Control,Clear,Loose Snow
112004,Major Arterial,Yield Sign,Clear,Wet
112106,Minor Arterial,Pedestrian Crossover,Snow,Loose Snow
112205,Minor Arterial,No Control,Clear,
112350,Collector,No Control,Other,Other
112628,Local,No Control,Snow,Loose Snow
112783,Local,No Control,Clear,Other
112900,Collector,No Control,Freezing Rain,Wet
113291,Minor Arterial,No Control,Freezing Rain,Ice
113753,Other,No Control,Rain,Wet
113834,Minor Arterial,No Control,Drifting Snow,Loose Snow
113913,Major Arterial,No Control,Rain,Dry
113953,Collector,Stop Sign,Snow,Slush
104617,Minor Arterial,No Control,Other,Other
103453,Major Arterial,No Control,Drifting Snow,Dry
106386,Major Arterial,No Control,,Other
